0x0000|－
0x0002|Lugar misterioso
0x0004|Lugar lejano
0x0006|Pueblo Boceto
0x0008|Ruta 1
0x0009|Sendero Boceto
0x000a|Pueblo Acuarela
0x000c|Ruta 2
0x000d|Vía del Avance
0x000e|Bosque de Novarte
0x0010|Ruta 3
0x0011|Senda Despejada
0x0012|Ciudad Novarte
0x0014|Ruta 4
0x0015|Senda del Parterre
0x0016|Ciudad Luminalia
0x0018|Torre Prisma
0x001a|Laboratorios Lysson
0x001c|Ruta 5
0x001d|Vía Repecho
0x001e|Pueblo Vánitas
0x0020|Castillo Caduco
0x0022|Ruta 6
0x0023|Alameda del Palacio
0x0024|Palacio Cénit
0x0026|Ruta 7
0x0027|Paseo de la Ribera
0x0028|Ciudad Relieve
0x002a|Ruta 8
0x002b|Muralla Costera
0x002c|Pueblo Petroglifo
0x002e|Ruta 9
0x002f|Paso de Rhyhorn
0x0030|Bastión Batalla
0x0032|Ruta 10
0x0033|Camino Menhires
0x0034|Pueblo Crómlech
0x0036|Ruta 11
0x0037|Senda Reflejos
0x0038|Cueva Reflejos
0x003a|Ciudad Yantra
0x003c|Torre Maestra
0x003e|Ruta 12
0x003f|Vereda del Heno
0x0040|Ciudad Témpera
0x0042|Ruta 13
0x0043|Páramo de Luminalia
0x0044|Ruta 14
0x0045|Arboleda Romantis
0x0046|Ciudad Romantis
0x0048|Fábrica Poké Balls
0x004a|Ruta 15
0x004b|Sendero Hojarasca
0x004c|Pueblo Fresco
0x004e|Ruta 16
0x004f|Senda Melancolía
0x0050|[~ 80]
0x0051|[~ 81]
0x0052|Gruta Helada
0x0054|Ruta 17
0x0055|Sendero Mamoswine
0x0056|Ciudad Fluxus
0x0058|Ruta 18
0x0059|Senda Valle Angosto
0x005a|Pueblo Mosaico
0x005c|Ruta 19
0x005d|Senda del Gran Valle
0x005e|Ciudad Fractal
0x0060|Ruta 20
0x0061|Bosque Errantes
0x0062|Villa Pokémon
0x0064|Ruta 21
0x0065|Vía Ultimia
0x0066|Ruta 22
0x0067|Vía Desvío
0x0068|Calle Victoria
0x006a|Liga Pokémon
0x006c|Ciudad Batik
0x006e|Mansión Batalla
0x0070|Bahía Azul
0x0072|Acceso a Fresco
0x0074|Acceso a Mosaico
0x0076|Acceso a Petroglifo
0x0078|Acceso a Luminalia
0x007a|Acceso a Yantra
0x007c|Acceso a Témpera
0x007e|Acceso a Romantis
0x0080|Acceso a Fluxus
0x0082|Acceso a Fractal
0x0084|Cueva Brillante
0x0086|Gruta Tierraunida
0x0087|Escondrijo Zubat
0x0088|Central de Kalos
0x008a|Guarida Team Flare
0x008c|Cueva Desenlace
0x008e|Hotel Desolación
0x0090|Estancia Vacua
0x0092|Cueva Talasia
0x0094|Safari Amistad
0x0096|Sala de las Llamas
0x0098|Sala de la Esclusa
0x009a|Sala del Metal
0x009c|Sala del Draco
0x009e|Sala de la Luz
0x00a0|Acceso Liga Pokémon
0x00a2|Estación Luminalia
0x00a4|Estación Batik
0x00a6|Acuario Petroglifo
0x00a8|Mazmorra Rara
0x00aa|Villa Raíz
0x00ac|Pueblo Escaso
0x00ae|Pueblo Azuliza
0x00b0|Pueblo Lavacalda
0x00b2|Pueblo Pardal
0x00b4|Pueblo Verdegal
0x00b6|Pueblo Oromar
0x00b8|Ciudad Petalia
0x00ba|Ciudad Portual
0x00bc|Ciudad Malvalona
0x00be|Ciudad Férrica
0x00c0|Ciudad Arborada
0x00c2|Ciudad Calagua
0x00c4|Ciudad Algaria
0x00c6|Arrecípolis
0x00c8|Ciudad Colosalia
0x00ca|Liga Pokémon
0x00cc|Ruta 101
0x00ce|Ruta 102
0x00d0|Ruta 103
0x00d2|Ruta 104
0x00d4|Ruta 105
0x00d6|Ruta 106
0x00d8|Ruta 107
0x00da|Ruta 108
0x00dc|Ruta 109
0x00de|Ruta 110
0x00e0|Ruta 111
0x00e2|Ruta 112
0x00e4|Ruta 113
0x00e6|Ruta 114
0x00e8|Ruta 115
0x00ea|Ruta 116
0x00ec|Ruta 117
0x00ee|Ruta 118
0x00f0|Ruta 119
0x00f2|Ruta 120
0x00f4|Ruta 121
0x00f6|Ruta 122
0x00f8|Ruta 123
0x00fa|Ruta 124
0x00fc|Ruta 125
0x00fe|Ruta 126
0x0100|Ruta 127
0x0102|Ruta 128
0x0104|Ruta 129
0x0106|Ruta 130
0x0108|Ruta 131
0x010a|Ruta 132
0x010c|Ruta 133
0x010e|Ruta 134
0x0110|Cascada Meteoro
0x0112|Túnel Fervergal
0x0114|(?)
0x0116|Ruinas del Desierto
0x0118|Cueva Granito
0x011a|Bosque Petalia
0x011c|Monte Cenizo
0x011e|Desfiladero
0x0120|Senda Ígnea
0x0122|Monte Pírico
0x0124|Guarida Aqua
0x0126|Caverna Abisal
0x0128|Cueva Ancestral
0x012a|Calle Victoria
0x012c|Cueva Cardumen
0x012e|Malvalanova
0x0130|Malvamar
0x0132|Cueva Insular
0x0134|Tumba Antigua
0x0136|Cámara Sellada
0x0138|Gruta Solar
0x013a|Guarida Magma
0x013c|Pilar Celeste
0x013e|Resort Batalla
0x0140|Isla del Sur
0x0142|S.S. Marea
0x0144|Zona Safari
0x0146|Bosque Espejismo
0x0148|Cueva Espejismo
0x014a|Isla Espejismo
0x014c|Monte Espejismo
0x014e|Bosque Virgen
0x0150|Llanura Sinnombre
0x0152|Cueva Ignota
0x0154|Cueva Incierta
0x0156|Boquete Irregular
0x0158|Isla Creciente
0x015a|Islote Secreto
0x015c|Firmamento
0x015e|Costa Secreta
0x0160|Prado Secreto
0x0162|Base Secreta
0x7531|Intercambio
0x7532|Intercambio en conexión
0x7533|Kanto
0x7534|Johto
0x7535|Hoenn
0x7536|Sinnoh
0x7537|Tierra lejana
0x7538|－－－－－－－－－－
0x7539|Teselia
0x753a|Kalos
0x753b|Nexo Pokémon
0x9c41|Lugar encantador
0x9c42|Lugar lejano
0x9c43|Película Pokémon
0x9c44|Película Pokémon 2013
0x9c45|Película Pokémon 2014
0x9c46|Película Pokémon 2015
0x9c47|Película Pokémon 2016
0x9c48|Película Pokémon 2017
0x9c49|Película Pokémon 2018
0x9c4a|Centro Pokémon
0x9c4b|Serie de animación Pokémon
0x9c4c|Centro Pokémon Tokio
0x9c4d|Centro Pokémon Osaka
0x9c4e|Centro Pokémon Fukuoka
0x9c4f|Centro Pokémon Nagoya
0x9c50|Centro Pokémon Sapporo
0x9c51|Centro Pokémon Yokohama
